Situacao,,Desatracação,DWT,IMO,SaldoTotal,Chegada,ETB,Operador,Cal.Cheg.,Tons/Dia,Mercadoria,Embarcação,Saldo,JanelaOperacional,Atracação,SaldoOperador,Prancha(t/dia),Programação,LOA,DUV,Realizado,Agência,Sentido,Berço,TipodeOperação,ETA,Cal.Saída,Desatracacao,Bordo,Status,Previsto
ATRACADOS,1,,"106.043,00",9526942,800 Movs.,16/12/2024 06:00,,TCP (AS2),,0 Movs.,CONTÊINERES (CONTENTORES) INCL,MAERSK LAGUNA,,,17/12/2024 06:20,800 Movs.,0,75123,"299,90",0507002024,0 Movs.,LACHMANN,Imp/Exp,218,,,,,BB,,800 Movs.
ATRACADOS,2,,"8.707,00",9210141,"0,000 Tons.",17/12/2024 06:00,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"0,000 Tons.",PASSAGEIROS,MSC ARMONIA,,,17/12/2024 08:45,"0,000 Tons.","0,000",73294,"274,90",0552112024,"0,000 Tons.",MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,Imp/Exp,205,,,,,BE,,"0,000 Tons."
ATRACADOS,3,,"80.529,00",9629469,500 Movs.,17/12/2024 00:12,,TCP (NBR),,0 Movs.,CONTÊINERES (CONTENTORES) INCL,SWANSEA,,,17/12/2024 03:40,500 Movs.,0,74859,"270,90",0511592024,0 Movs.,UNIMAR,Imp/Exp,215,,,,,BE,,500 Movs.
ATRACADOS,4,,"33.795,00",9571416,"7.222,770 Tons.",09/12/2024 13:40,,PORTO PONTA DO FELIX S/A,,"6.053,000 Tons.",MAP,LADY KATERINA,,15/12/2024 16:35 - 18/12/2024 17:02,15/12/2024 16:35,"7.222,770 Tons.","6.000,000",75094,"180,86",0559052024,"9.978,000 Tons.",ORION,Imp,114,,,,,BB,,"17.201,000 Tons."
ATRACADOS,5,,"49.999,00",9829409,"35.404,000 Tons.",15/12/2024 07:12,,TRANSPETRO PGUA,,"9.596,000 Tons.",OLEO DIESEL,ARCTOS,,16/12/2024 19:00 - 19/12/2024 21:42,16/12/2024 19:00,"35.404,000 Tons.","15.000,000",75061,"183,04",0565662024,"9.596,000 Tons.",LACHMANN,Imp,141,,,,,BB,,"45.000,000 Tons."
ATRACADOS,6,,"26.057,00",9773143,"244,000 Tons.",15/12/2024 09:45,,CATTALINI,,"4.486,000 Tons.","BIODIESEL E SUAS MISTURAS,C/ M",SOUTHERN OWL,,15/12/2024 22:30 - 16/12/2024 08:59,15/12/2024 22:30,"244,000 Tons.","15.000,000",75033,"156,53",0555202024,"4.756,000 Tons.",GRANEL,Exp,144,,,,,BB,,"5.000,000 Tons."
ATRACADOS,7,,"26.210,00",9975301,"0,000 Tons.",15/12/2024 13:00,,CATTALINI,,"7.821,000 Tons.",METANOL,FAIRCHEM PATHFINDER,,15/12/2024 15:25 - 16/12/2024 18:18,15/12/2024 15:25,"0,000 Tons.","15.000,000",74976,"158,42",0536962024,"14.011,000 Tons.",ROCHAMAR,Imp,143,,,,,BB,,"14.011,000 Tons."
ATRACADOS,8,,"80.059,00",9305673,500 Movs.,14/12/2024 23:30,,TCP (FIL),,0 Movs.,CONTÊINERES (CONTENTORES) INCL,HYUNDAI TOKYO,,,17/12/2024 08:25,500 Movs.,0,75068,"303,83",0556502024,0 Movs.,UNIMAR,Imp/Exp,216,,,,,BB,,500 Movs.
ATRACADOS,9,,"82.502,00",9905629,"41.633,800 Tons.",13/12/2024 22:00,,ALPHAMAR PORT SERVICES,,"19.371,000 Tons.",FARELO DE SOJA,LONGEVITY DIVA,,16/12/2024 12:22 - 18/12/2024 22:24,16/12/2024 12:22,"41.633,800 Tons.","30.000,000",74989,"228,99",0555842024,"24.866,000 Tons.",ALPHAMAR,Exp,213,,,,,BB,,"66.500,000 Tons."
ATRACADOS,10,,"35.066,00",9522958,"10.599,910 Tons.",03/12/2024 18:18,,IMPEXP PRESTADORA DE SERVICOS,,"7.590,000 Tons.",Trigo duro,LIPSI,,14/12/2024 18:40 - 17/12/2024 05:07,14/12/2024 18:40,"10.599,910 Tons.","43.200,000",75038,"179,00",0552902024,"20.125,000 Tons.",LBH BRASIL,Exp,212,,,,,BB,,"30.725,000 Tons."
ATRACADOS,11,,"70.578,00",9644548,"30.679,150 Tons.",12/12/2024 09:00,,CARGONAVE,,"27.773,000 Tons.",FARELO DE SOJA,LB EARTH,,16/12/2024 05:50 - 18/12/2024 14:08,16/12/2024 05:50,"30.679,150 Tons.","30.000,000",74928,"210,00",0529802024,"32.821,000 Tons.",CARGONAVE,Exp,214,,,,,BB,,"63.500,000 Tons."
ATRACADOS,12,,"31.762,00",9194880,"16.464,270 Tons.",10/12/2024 01:00,,PORTO PONTA DO FELIX S/A,,"2.374,000 Tons.",MALTE,PARAGON,,,16/12/2024 15:06,"16.464,270 Tons.","0,000",74991,"176,75",0542732024,"3.538,000 Tons.",WILSON SONS,Imp,113,,,,,BE,,"20.002,000 Tons."
ATRACADOS,13,,"35.147,00",9595395,"23.406,940 Tons.",09/12/2024 16:30,,CENTRO SUL,,"6.804,000 Tons.",OUT.TRIGOS E MISTURAS DE TRIGO,DELTA,,16/12/2024 04:35 - 21/12/2024 17:45,16/12/2024 04:35,"23.406,940 Tons.","6.000,000",75037,"180,40",0549982024,"9.593,000 Tons.",CARGONAVE,Imp,201,,,,,BE,,"33.000,000 Tons."
ATRACADOS,14,,"82.176,00",9952426,"58.809,220 Tons.",03/12/2024 08:54,,CEU AZUL,,"1.889,000 Tons.",AÇÚCAR,AI STRATIS,,17/12/2024 00:10 - 20/12/2024 16:53,17/12/2024 00:10,"58.809,220 Tons.","20.000,000",74953,"229,00",0532942024,"10.551,000 Tons.",CARGONAVE,Exp,204,,,,,BE,,"69.360,000 Tons."
ATRACADOS,15,,"63.878,00",9801720,"9.979,280 Tons.",19/11/2024 13:06,,FORTESOLO,,"6.792,000 Tons.",UREIA,PEARL ISLAND,,15/12/2024 05:10 - 20/12/2024 09:48,15/12/2024 05:10,"7.750,620 Tons.","4.557,423",74901,"199,99",0527292024,"15.710,000 Tons.",ORION,Imp,209,,,,,BB,,"23.461,000 Tons."
ATRACADOS,BB,,15/12/2024 05:10 - 21/12/2024 11:38,15/12/2024 05:10,,,,"7.771,000 Tons.",,,"2.228,660 Tons.",UREIA,,,,,,Imp,19/11/2024 13:06,ORION,,"10.000,000 Tons.","5.557,000 Tons.",HARBOR,,,,,"1.942,571",,
ATRACADOS,16,,"81.746,00",9836701,"32.357,060 Tons.",18/11/2024 14:48,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"7.409,000 Tons.",SULFATO DE AMONIO,TAYGETUS,,15/12/2024 09:00 - 23/12/2024 01:57,15/12/2024 09:00,"26.499,040 Tons.","5.512,600",74872,"228,99",0501822024,"14.501,000 Tons.",ISS MARINE,Imp,208,,,,,BE,,"41.000,000 Tons."
