TipoNavio,NavioShip,BandeiraFlag,Com/LenCal/Draft,Nav,Cheg/Arrivald/m/y,CarimboNotice,AgênciaOffice,OperaçOperat,MercadoriaGoods,PesoWeight,ViagemVoyage,DUV,P,Terminal,IMO
LIQUIDO A GRANEL,MARLIN,LIBERIANA,1448.2,Cabo,10/12/2024 02:30:00,5285-0,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,OLEO DIESEL,16000,5687-12024,554562024,B,ALAMOA,09453638
LIQUIDO A GRANEL,STOLT FOCUS,GRANDCAYMANA,18310,Long,10/12/2024 16:00:00,5292-2,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,GRAN.LIQUIDO NAO ESPECIF,30595,5670-12024,552442024,B,ALA.-I.B.,09214305
LIQUIDO A GRANEL,EPIC BEATA,MALTESA,1135.1,Cabo,12/12/2024 01:00:00,5308-2,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC   ,GAS LIQUEFEITO,3500,5673--2024,553522024,B,ALAMOA,09580182
LIQUIDO A GRANEL,ANITA GARIBALDI,BRASILEIRA,22810,Cabo,12/12/2024 09:30:00,5312--,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,OLEO COMBUSTIVEL,60000,5709-52024,555272024,B,ALAMOA,09492270
LIQUIDO A GRANEL,SCOT HAMBURG,MALTESA,1176,Long,16/12/2024 18:12:00,5378-3,NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,DESC   ,SODA CAUSTICA,7500,5674-72024,553402024,B,ILHA,09255799
LIQUIDO A GRANEL,CLEAN JUSTICE,LIBERIANA,18211,Cabo,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,OLEO DIESEL,45000,4741-22024,460992024,B,ALAMOA,09473717
LIQUIDO A GRANEL,CLYDE,LIBERIANA,18310,Cabo,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,OLEO COMBUSTIVEL,25000,5239-92024,507412024,B,ALAMOA,09836452
LIQUIDO A GRANEL,GAVI C,LIBERIANA,1849,Cabo,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,OLEO DIESEL,30000,5750-52024,563722024,B,ALAMOA,09391361
LIQUIDO A GRANEL,LUIGI LAGRANGE,ITALIANA,18010.1,Long,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,DESC   ,GAS LIQUEFEITO,4000,5475-42024,532822024,B,ALAMOA,09292759
LIQUIDO A GRANEL,MAERSK KATALIN,SINGAPURENSE,1839,Cabo,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,OLEO DIESEL,30000,5659-82024,552282024,B,ALAMOA,09431317
LIQUIDO A GRANEL,SCOT HAMBURG,MALTESA,1177,Long,17/12/2024,,ORION OPERACOES PORTUARIAS LTDA,EMB ,ETHANOL,2567,5714-92024,559472024,B,ILHA,09255799
LIQUIDO A GRANEL,SINO SOURCE,PANAMENHA,1836,Long,17/12/2024,,TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA,DESC   ,OLEO DIESEL,46935,5739-12024,560372024,B,ILHA,09350850
LIQUIDO A GRANEL,STI JARDINS,ILHAS MARSHALL,18310,Long,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,GASOLINA COMUM,25000,5265-02024,510492024,B,ALAMOA,09794446
LIQUIDO A GRANEL,STI MIGHTY,ILHAS MARSHALL,18310,Long,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,GASOLINA COMUM,25000,5101-72024,496832024,B,ALAMOA,09854739
LIQUIDO A GRANEL,TWEED,ILHAS MARSHALL,18410,Cabo,17/12/2024,,CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,EMB ,OLEO DIESEL,30000,3728-22024,370642024,B,ALAMOA,09865740
LIQUIDO A GRANEL,YARA FREYA,NORUEGUESA,1808.3,Long,17/12/2024,,WILHELMSEN PORT SERVICES BRASIL LTDA,DESC   ,GRAN.LIQUIDO NAO ESPECIF,16000,5771-22024,534942024,B,ULTRAFERTIL,09725500
LIQUIDO A GRANEL,ORANGE OCEAN,LIBERIANA,1709,Long,17/12/2024 04:03:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB ,SUCOS CITRICOS A GRANEL,17000,5637-42024,550982024,B,CUTRALE,09675391
LIQUIDO A GRANEL,BOW AGATHE,NORUEGUESA,1708,Long,17/12/2024 17:30:00,5390-2,AGENCIA MARITIMA GRANEL LTDA.,EMBDESC,GRAN.LIQUIDO NAO ESPECIFGRAN.LIQUIDO NAO ESPECIF,419710000,5686-52024,553282024,B,ALA.-I.B.,09393010
LIQUIDO A GRANEL,BOW TRAJECTORY,NORUEGUESA,1838,Long,18/12/2024 06:00:00,,AGENCIA MARITIMA GRANEL LTDA.,DESC   ,GRAN.LIQUIDO NAO ESPECIF,21327,5622-72024,550172024,B,ILHA,09669873
LIQUIDO A GRANEL,CASTILLO DE TEBRA (REB),BRASILEIRA,1208,Cabo,18/12/2024 07:00:00,,ORION OPERACOES PORTUARIAS LTDA,EMBDESC,ETHANOLPRODUTOS QUIMICOS,24006792,5738-52024,556522024,B,ILHA,09753636
LIQUIDO A GRANEL,ORANGE STAR,LIBERIANA,1909,Long,19/12/2024 04:10:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB ,SUCOS CITRICOS A GRANEL,30000,5671-82024,550992024,B,CUTRALE,09564384
LIQUIDO A GRANEL,BOW LION,SINGAPURENSE,1578,Long,20/12/2024 06:00:00,,AGENCIA MARITIMA GRANEL LTDA.,EMBDESC,GRAN.LIQUIDO NAO ESPECIFGRAN.LIQUIDO NAO ESPECIF,80508579,5763-02024,564592024,B,ALA.-I.B.,09952177
LIQUIDO A GRANEL,CL TONI MORRISON,LIBERIANA,1839.4,Long,20/12/2024 13:00:00,,NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,EMB ,ETHANOL,22882,5787-62024,565782024,B,ALAMOA,09943384
